[2024-05-01T18:51:39.860+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-01T18:51:39.885+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [queued]>
[2024-05-01T18:51:39.895+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [queued]>
[2024-05-01T18:51:39.896+0000] {taskinstance.py:2303} INFO - Starting attempt 3 of 8
[2024-05-01T18:51:39.914+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): fetch_and_display_data> on 2024-05-01 18:41:38.401188+00:00
[2024-05-01T18:51:39.923+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=1089) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-01T18:51:39.924+0000] {standard_task_runner.py:63} INFO - Started process 1091 to run task
[2024-05-01T18:51:39.924+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'weather_data_pipeline', 'fetch_and_display_data', 'manual__2024-05-01T18:41:38.401188+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/demo.py', '--cfg-path', '/tmp/tmphwdz5xv8']
[2024-05-01T18:51:39.925+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask fetch_and_display_data
[2024-05-01T18:51:39.973+0000] {task_command.py:426} INFO - Running <TaskInstance: weather_data_pipeline.fetch_and_display_data manual__2024-05-01T18:41:38.401188+00:00 [running]> on host a747c391e266
[2024-05-01T18:51:40.076+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='weather_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_and_display_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-01T18:41:38.401188+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-01T18:41:38.401188+00:00'
[2024-05-01T18:51:40.077+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-01T18:51:40.087+0000] {base.py:84} INFO - Using connection ID 'postgres_default' for task execution.
[2024-05-01T18:51:40.341+0000] {logging_mixin.py:188} INFO -             date       tavg       tmin       tmax        prcp        wdir       wspd         pres
70    2018-03-12  26.100000  20.300000  31.859149    8.540775  111.088274   5.689065  1010.424374
71    2018-03-13  26.600000  20.300000  31.859149    0.000000  111.088274   5.689065  1010.424374
72    2018-03-14  24.300000  22.000063  29.800000    4.100000  111.088274   5.689065  1010.424374
73    2018-03-15  26.700000  20.500000  31.300000    0.000000  111.088274   5.689065  1010.424374
74    2018-03-16  27.500000  22.000063  33.100000    8.540775  111.088274   5.689065  1010.424374
75    2018-03-17  29.200000  23.200000  35.100000    8.540775  111.088274   5.689065  1010.424374
76    2018-03-18  29.200000  22.000063  35.700000    8.540775  111.088274   5.689065  1010.424374
77    2018-03-19  27.300000  21.900000  33.500000   33.800000  111.088274   5.689065  1010.424374
78    2018-03-20  25.000000  22.000063  30.100000    6.600000  111.088274   5.689065  1010.424374
79    2018-03-21  22.900000  19.000000  27.200000    0.000000  111.088274   5.689065  1010.424374
80    2018-03-22  23.700000  18.900000  30.700000    8.540775  111.088274   5.689065  1010.424374
81    2018-03-23  24.800000  19.100000  30.800000    8.540775  111.088274   5.689065  1010.424374
82    2018-03-24  26.100000  20.800000  31.900000    8.540775  111.088274   5.689065  1010.424374
83    2018-03-25  27.200000  20.400000  33.000000    8.540775  111.088274   5.689065  1010.424374
84    2018-03-26  26.300000  22.000063  32.100000    8.540775  111.088274   5.689065  1010.424374
85    2018-03-27  26.700000  22.200000  31.700000    8.540775  111.088274   5.689065  1010.424374
86    2018-03-28  27.800000  21.600000  33.500000    8.540775  111.088274   5.689065  1010.424374
87    2018-03-29  27.800000  23.300000  31.859149    8.540775  111.088274   5.689065  1010.424374
88    2018-03-30  25.300000  22.000063  32.500000   23.100000  111.088274   5.689065  1010.424374
89    2018-03-31  26.700000  21.100000  31.859149   22.900000  111.088274   5.689065  1010.424374
90    2018-04-01  27.000000  21.200000  33.200000    0.000000  111.088274   5.689065  1010.424374
91    2018-04-02  27.600000  20.500000  31.859149    8.540775  111.088274   5.689065  1010.424374
92    2018-04-03  28.100000  21.700000  35.200000    8.540775  111.088274   5.689065  1010.424374
93    2018-04-04  29.200000  22.300000  35.700000    8.540775  111.088274   5.689065  1010.424374
94    2018-04-05  29.800000  23.500000  35.400000    8.540775  111.088274   5.689065  1010.424374
95    2018-04-06  26.200000  22.000063  33.500000    1.500000  111.088274   5.689065  1010.424374
96    2018-04-07  19.400000  22.000063  21.500000    0.000000  111.088274   5.689065  1010.424374
97    2018-04-08  23.500000  17.200000  30.100000    0.000000  111.088274   5.689065  1010.424374
98    2018-04-09  25.900000  18.400000  32.400000    8.540775  111.088274   5.689065  1010.424374
99    2018-04-10  27.400000  19.900000  31.859149    8.540775  111.088274   5.689065  1010.424374
100   2018-04-11  30.400000  22.200000  31.859149    8.540775  111.088274   5.689065  1010.424374
101   2018-04-12  31.800000  24.900000  38.900000    8.540775  111.088274   5.689065  1010.424374
102   2018-04-13  32.500000  26.800000  38.000000    8.540775  111.088274   5.689065  1010.424374
103   2018-04-14  32.700000  27.000000  31.859149    8.540775  111.088274   5.689065  1010.424374
104   2018-04-15  26.200000  23.600000  31.859149   71.400000  111.088274   5.689065  1010.424374
105   2018-04-16  28.100000  23.400000  31.859149   29.200000  111.088274   5.689065  1010.424374
106   2018-04-17  24.100000  22.000063  27.400000    0.000000  111.088274   5.689065  1010.424374
107   2018-04-18  27.400000  19.600000  31.859149    8.540775  111.088274   5.689065  1010.424374
108   2018-04-19  28.600000  21.500000  31.859149    0.000000  111.088274   5.689065  1010.424374
109   2018-04-20  26.800000  24.000000  34.500000   24.100000  111.088274   5.689065  1010.424374
110   2018-04-21  29.100000  23.800000  34.000000    0.000000  111.088274   5.689065  1010.424374
111   2018-04-22  29.300000  25.000000  31.859149    0.000000  111.088274   5.689065  1010.424374
112   2018-04-23  31.700000  26.200000  36.800000    8.540775  111.088274   5.689065  1010.424374
113   2018-04-24  30.800000  22.000063  31.859149    8.540775  111.088274   5.689065  1010.424374
114   2018-04-25  27.700000  22.000063  31.859149    0.500000  111.088274   5.689065  1010.424374
115   2018-04-26  27.700000  23.400000  31.859149    1.300000  111.088274   5.689065  1010.424374
116   2018-04-27  30.000000  24.700000  31.859149    0.500000  111.088274   5.689065  1010.424374
117   2018-04-28  27.300000  22.000063  32.600000    3.800000  111.088274   5.689065  1010.424374
118   2018-04-29  26.000000  22.000063  31.200000   38.900000  111.088274   5.689065  1010.424374
119   2018-04-30  26.800000  23.800000  31.859149    0.000000  111.088274   5.689065  1010.424374
120   2018-05-01  28.800000  24.600000  34.300000    0.000000  111.088274   5.689065  1010.424374
121   2018-05-02  28.100000  25.200000  31.859149    8.540775  111.088274   5.689065  1010.424374
122   2018-05-03  29.300000  24.600000  31.859149    8.540775  111.088274   5.689065  1010.424374
123   2018-05-04  28.900000  24.400000  31.859149    8.540775  111.088274   5.689065  1010.424374
124   2018-05-05  27.300000  22.000063  33.100000   25.900000  111.088274   5.689065  1010.424374
125   2018-05-06  27.600000  24.300000  31.859149    8.900000  111.088274   5.689065  1010.424374
126   2018-05-07  30.000000  24.800000  31.859149    8.540775  111.088274   5.689065  1010.424374
127   2018-05-08  29.200000  27.000000  34.300000    8.540775  111.088274   5.689065  1010.424374
128   2018-05-09  29.200000  22.000063  31.859149    8.540775  111.088274   5.689065  1010.424374
129   2018-05-10  28.100000  25.300000  33.700000    0.000000  111.088274   5.689065  1010.424374
130   2018-05-11  30.000000  25.100000  31.859149    0.000000  111.088274   5.689065  1010.424374
