,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
333,2018-11-30,26.8,20.9,32.8,,,,,,,
334,2018-12-01,27.2,21.6,,,,,,,,
335,2018-12-02,27.6,21.0,,,,,,,,
336,2018-12-03,27.8,21.2,34.8,,,,,,,
337,2018-12-04,27.1,21.0,,,,,,,,
338,2018-12-05,27.3,20.4,,,,,,,,
339,2018-12-06,28.3,22.4,,,,,,,,
340,2018-12-07,28.3,22.1,,,,,,,,
341,2018-12-08,27.6,,,,,,,,,
342,2018-12-09,25.0,,,,,,,,,
343,2018-12-10,25.1,19.9,,,,,,,,
344,2018-12-11,24.8,,,0.0,,,,,,
345,2018-12-12,21.6,,,0.0,,,,,,
346,2018-12-13,21.4,15.6,,,,,,,,
347,2018-12-14,21.7,14.8,,,,,,,,
348,2018-12-15,23.6,16.1,,,,,,,,
349,2018-12-16,23.4,,,,,,,,,
350,2018-12-17,21.6,,,,,,,,,
351,2018-12-18,22.6,15.1,,,,,,,,
352,2018-12-19,24.1,16.0,31.3,,,,,,,
353,2018-12-20,25.2,19.0,32.2,,,,,,,
354,2018-12-21,27.1,20.0,,,,,,,,
355,2018-12-22,27.7,21.7,,,,,,,,
356,2018-12-23,26.2,,31.5,,,,,,,
357,2018-12-24,25.8,19.1,,,,,,,,
358,2018-12-25,24.4,18.1,,,,,,,,
359,2018-12-26,24.8,18.7,32.4,,,,,,,
360,2018-12-27,26.9,19.0,,,,,,,,
361,2018-12-28,26.2,23.9,30.8,0.0,,,,,,
362,2018-12-29,22.4,,26.0,0.8,,,,,,
363,2018-12-30,20.6,,26.5,,,,,,,
364,2018-12-31,19.8,,26.0,,,,,,,
365,2019-01-01,20.3,12.9,,,,,,,,
366,2019-01-02,20.1,14.1,27.5,,,,,,,
367,2019-01-03,21.5,14.0,27.5,,,,,,,
368,2019-01-04,23.2,17.9,28.3,,,,,,,
369,2019-01-05,24.7,19.6,31.0,,,,,,,
370,2019-01-06,26.5,21.0,,,,,,,,
371,2019-01-07,27.0,20.8,33.3,,,,,,,
372,2019-01-08,26.7,21.2,,,,,,,,
373,2019-01-09,26.7,,,,,,,,,
374,2019-01-10,26.4,21.2,,,,,,,,
375,2019-01-11,26.2,20.5,,,,,,,,
376,2019-01-12,26.2,19.6,,,,,,,,
377,2019-01-13,25.7,19.9,,,,,,,,
378,2019-01-14,26.7,21.3,32.5,,,,,,,
379,2019-01-15,26.1,21.5,,,,,,,,
380,2019-01-16,24.8,,,,,,,,,
381,2019-01-17,22.2,,,,,,,,,
382,2019-01-18,22.7,16.3,,,,,,,,
383,2019-01-19,25.4,18.6,31.4,,,,,,,
384,2019-01-20,26.1,21.4,32.5,,,,,,,
385,2019-01-21,24.0,,,,,,,,,
386,2019-01-22,21.2,15.6,,,,,,,,
387,2019-01-23,22.5,13.9,,,,,,,,
388,2019-01-24,23.3,16.5,,,,,,,,
389,2019-01-25,24.6,16.7,,,,,,,,
390,2019-01-26,23.2,,,,,,,,,
391,2019-01-27,22.8,15.2,,,,,,,,
392,2019-01-28,23.4,15.7,30.0,,,,,,,
393,2019-01-29,25.3,17.2,,,,,,,,
394,2019-01-30,25.8,,,,,,,,,
395,2019-01-31,26.3,18.7,,,,,,,,
396,2019-02-01,25.2,,,,,,,,,
397,2019-02-02,25.3,17.9,,,,,,,,
398,2019-02-03,26.6,19.6,,,,,,,,
399,2019-02-04,27.7,20.6,,,,,,,,
400,2019-02-05,27.3,20.7,,,,,,,,
401,2019-02-06,27.1,21.6,,15.0,,,,,,
402,2019-02-07,28.2,,,,,,,,,
403,2019-02-08,27.3,20.0,,,,,,,,
404,2019-02-09,28.1,19.9,,,,,,,,
405,2019-02-10,27.7,21.1,,0.0,,,,,,
406,2019-02-11,27.3,,,0.0,,,,,,
407,2019-02-12,27.4,21.7,33.5,,,,,,,
408,2019-02-13,27.1,20.9,,,,,,,,
409,2019-02-14,27.1,19.5,,,,,,,,
410,2019-02-15,27.1,20.7,,,,,,,,
411,2019-02-16,27.8,21.5,,,,,,,,
412,2019-02-17,23.9,,,5.6,,,,,,
413,2019-02-18,25.8,20.7,,3.6,,,,,,
414,2019-02-19,27.9,22.0,,0.0,,,,,,
415,2019-02-20,28.9,22.5,,,,,,,,
416,2019-02-21,29.1,23.4,,,,,,,,
417,2019-02-22,30.2,24.5,,,,,,,,
418,2019-02-23,29.7,24.4,,,,,,,,
419,2019-02-24,28.2,,,,,,,,,
420,2019-02-25,27.8,21.7,34.0,,,,,,,
421,2019-02-26,26.7,22.7,,0.3,,,,,,
422,2019-02-27,28.1,22.6,,,,,,,,
423,2019-02-28,28.9,23.4,35.8,,,,,,,
424,2019-03-01,29.3,23.3,35.7,2.0,,,,,,
425,2019-03-02,29.4,24.4,,1.3,,,,,,
426,2019-03-03,28.9,,,8.9,,,,,,
427,2019-03-04,26.1,,,15.5,,,,,,
428,2019-03-05,28.9,23.6,,8.4,,,,,,
429,2019-03-06,29.7,,,0.0,,,,,,
430,2019-03-07,29.8,24.2,,,,,,,,
431,2019-03-08,28.9,23.5,,,,,,,,
432,2019-03-09,29.3,,,,,,,,,
433,2019-03-10,29.2,23.0,,,,,,,,
434,2019-03-11,28.6,22.6,,,,,,,,
435,2019-03-12,28.1,21.5,,,,,,,,
436,2019-03-13,28.1,22.0,,,,,,,,
437,2019-03-14,30.1,22.7,,,,,,,,
438,2019-03-15,28.7,,,,,,,,,
439,2019-03-16,28.1,22.8,,,,,,,,
440,2019-03-17,28.9,22.5,,,,,,,,
441,2019-03-18,29.3,23.5,,,,,,,,
442,2019-03-19,30.1,23.5,,,,,,,,
443,2019-03-20,28.0,,,16.0,,,,,,
444,2019-03-21,30.6,24.9,,,,,,,,
445,2019-03-22,31.3,25.7,,,,,,,,
446,2019-03-23,31.8,26.2,,,,,,,,
447,2019-03-24,28.2,,,,,,,,,
448,2019-03-25,28.9,23.2,,,,,,,,
449,2019-03-26,30.1,23.7,,,,,,,,
450,2019-03-27,29.2,24.0,,0.0,,,,,,
451,2019-03-28,31.1,23.5,,0.0,,,,,,
452,2019-03-29,30.4,26.4,,0.0,,,,,,
453,2019-03-30,30.7,,36.2,,,,,,,
454,2019-03-31,30.1,25.4,,,,,,,,
455,2019-04-01,30.8,25.6,,0.0,,,,,,
456,2019-04-02,30.1,24.7,,0.0,,,,,,
457,2019-04-03,30.7,24.9,36.3,,,,,,,
458,2019-04-04,30.7,25.4,,,,,,,,
459,2019-04-05,29.1,,,13.7,,,,,,
460,2019-04-06,29.8,23.7,,,,,,,,
461,2019-04-07,31.0,25.6,,,,,,,,
462,2019-04-08,30.9,26.3,,,,,,,,
463,2019-04-09,32.6,26.0,38.0,,,,,,,
464,2019-04-10,30.7,,,3.0,,,,,,
465,2019-04-11,30.0,27.0,38.3,15.7,,,,,,
466,2019-04-12,31.1,,,,,,,,,
467,2019-04-13,29.7,25.6,,5.8,,,,,,
468,2019-04-14,28.6,,,0.0,,,,,,
469,2019-04-15,28.9,,,,,,,,,
470,2019-04-16,30.7,22.6,,7.6,,,,,,
471,2019-04-17,31.6,27.2,,0.0,,,,,,
472,2019-04-18,33.2,27.5,,,,,,,,
473,2019-04-19,32.1,28.7,,0.3,,,,,,
474,2019-04-20,34.0,28.6,,,,,,,,
475,2019-04-21,33.2,,,,,,,,,
476,2019-04-22,26.4,,,21.1,,,,,,
477,2019-04-23,31.3,23.7,,21.1,,,,,,
478,2019-04-24,33.2,25.4,,0.0,,,,,,
479,2019-04-25,32.4,,,39.4,,,,,,
480,2019-04-26,29.8,23.1,,4.3,,,,,,
481,2019-04-27,30.6,,35.2,0.0,,,,,,
482,2019-04-28,29.6,,,4.8,,,,,,
483,2019-04-29,31.1,22.4,,2.0,,,,,,
484,2019-04-30,29.9,25.9,36.0,0.3,,,,,,
485,2019-05-01,31.4,26.6,37.0,0.0,,,,,,
486,2019-05-02,30.6,,37.5,3.8,,,,,,
487,2019-05-03,31.8,26.5,36.1,,,,,,,
488,2019-05-04,28.8,,,0.5,,,,,,
489,2019-05-05,31.2,26.6,,0.5,,,,,,
490,2019-05-06,29.1,,,13.0,,,,,,
491,2019-05-07,28.3,23.6,33.5,25.7,,,,,,
492,2019-05-08,28.8,25.3,,0.3,,,,,,
493,2019-05-09,27.8,24.4,32.0,5.8,,,,,,
494,2019-05-10,28.4,24.5,,2.3,,,,,,
495,2019-05-11,29.8,25.7,,2.3,,,,,,
496,2019-05-12,30.4,25.5,34.9,0.0,,,,,,
497,2019-05-13,29.1,26.6,32.7,1.5,,,,,,
498,2019-05-14,28.7,,,6.4,,,,,,
499,2019-05-15,29.7,25.5,33.7,0.0,,,,,,
500,2019-05-16,28.6,,,1.5,,,,,,
501,2019-05-17,30.9,26.0,,,,,,,,
502,2019-05-18,32.0,28.1,36.7,,,,,,,
503,2019-05-19,32.5,29.0,,,,,,,,
504,2019-05-20,32.5,28.1,,,,,,,,
505,2019-05-21,28.9,,34.8,,,,,,,
506,2019-05-22,26.2,22.5,,34.3,,,,,,
507,2019-05-23,28.4,,,33.8,,,,,,
508,2019-05-24,27.7,23.8,31.4,0.3,,,,,,
509,2019-05-25,27.1,25.4,,20.1,,,,,,
510,2019-05-26,26.5,,,6.4,,,,,,
511,2019-05-27,27.8,24.8,31.6,1.3,,,,,,
512,2019-05-28,27.4,,,0.5,,,,,,
